Club Number,Agreement Number,Membership Type,Since Date,Invoice  Amount,consolidated_mem_types
132,13200022,EFIT,4/16/2009,26.6775,Fit
132,13200026,TOTAL,3/16/2009,37.3075,Total
132,13200064,TOTAL,4/28/2009,31.9875,Total
132,13200076,EMP,3/25/2009,0.0975,Employee
132,13200078,EFIT,2/20/2009,26.6775,Fit
132,13200092,EFIT,4/29/2009,21.3575,Fit
132,13200102,EFIT,2/23/2009,26.6775,Fit
132,13200107,EFIT,2/23/2009,26.6775,Fit
132,13200111,EFITPF,3/31/2009,0.0975,Fit
132,13200117,EFIT,8/16/2019,28.7975,Fit
132,13200127,EFIT,8/16/2019,28.7975,Fit
132,13200142,EFIT,03-05-2009,26.6775,Fit
132,13200143,TOTAL,04-08-2009,31.9875,Total
132,13200166,TOTAL,03-09-2009,26.6775,Total
132,13200169,EFIT,6/13/2011,23.4875,Fit
132,13200181,TOTAL,7/16/2011,31.9875,Total
132,13200190,EFIT,8/18/2011,26.6775,Fit
132,13200197,EFIT,8/18/2011,26.6775,Fit
132,13200236,REDPIF,01-05-2019,0.0975,Red
132,13200238,EFIT,9/25/2011,23.4875,Fit
132,13200244,EFITPF,11/27/2011,0.0975,Fit
132,13200259,EFIT,8/16/2019,23.4875,Fit
132,13200342,RED,8/17/2019,10.7275,Red
132,13200372,EFIT,09-03-2011,27.6775,Fit
132,13200373,EDGECP,09-03-2011,16.0375,Fit
132,13200396,EFIT,06-02-2011,26.6775,Fit
132,13200435,RED,8/18/2019,10.7275,Red
132,13200487,EFIT,05-05-2011,26.6775,Fit
132,13200488,EFIT,09-09-2011,26.6775,Fit
132,13200492,EFIT,8/19/2019,28.7975,Fit
132,13200499,TOTAL,08-09-2011,31.9875,Total
132,13200529,REDPIF,8/16/2011,0.0975,Red
132,13200554,EFIT,8/16/2011,26.6775,Fit
132,13200559,EFIT,01-07-2019,26.6775,Fit
132,13200561,TOTAL,7/14/2011,37.3075,Total
132,13200585,EFIT,8/19/2019,23.4875,Fit
132,13200588,EFITPF,7/23/2011,0.0975,Fit
132,13200616,EFIT,7/29/2011,27.6775,Fit
132,13200648,PIFPLT,10-10-2011,0.0975,Fit
132,13200654,TOTAL,01-07-2019,31.9875,Total
132,13200656,EFIT,10-12-2011,26.6775,Fit
132,13200662,EFIT,08-08-2011,26.6775,Fit
132,13200667,EFIT,10/13/2011,23.4875,Fit
132,13200670,EFIT,08-10-2011,26.6775,Fit
132,13200691,EFIT,01-07-2019,21.3575,Fit
132,13200696,EFIT,9/19/2011,26.6775,Fit
132,13200701,EFITPF,10/13/2011,0.0975,Fit
132,13200726,REDPIF,7/14/2011,0.0975,Red
132,13200741,RED,8/23/2011,16.0375,Red
132,13200751,EFIT,01-07-2019,21.3575,Fit
132,13200758,TOTAL,3/30/2011,37.3075,Total
132,13200775,EFIT,7/15/2011,26.6775,Fit
132,13200797,EFIT,9/13/2011,26.6775,Fit
132,13200803,EFITPF,9/14/2011,0.0975,Fit
132,13200827,EFIT,9/14/2011,24.5475,Fit
132,13200854,EFIT,9/15/2011,26.6775,Fit
132,13200894,RED,9/20/2011,10.7275,Red
132,13200942,EFIT,7/24/2011,26.6775,Fit
132,13200969,EFIT,10/28/2011,23.4875,Fit
132,13200994,RED,7/25/2011,16.0375,Red
132,13201000,EFIT,3/13/2017,26.6775,Fit
132,13201045,EFITPF,11-05-2011,0.0975,Fit
132,13201048,EFIT,04-11-2011,26.6775,Fit
132,13201071,EFIT,10-10-2011,27.6775,Fit
132,13201095,EFIT,10-11-2011,27.6775,Fit
132,13201098,EFIT,6/30/2011,26.6775,Fit
132,13201103,EFIT,10-11-2011,23.4875,Fit
132,13201104,EFIT,10-11-2011,26.6775,Fit
132,13201111,EFIT,08-02-2011,27.6775,Fit
132,13201120,EFIT,10-11-2011,28.7975,Fit
132,13201142,EFIT,8/19/2019,28.7975,Fit
132,13201146,PIFPLT,10-12-2011,0.0975,Fit
132,13201149,TOTAL,10-12-2011,26.6775,Total
132,13201157,TOTAL,1/23/2019,37.3075,Total
132,13201176,EFIT,08-04-2011,23.4875,Fit
132,13201199,TOTAL,11/14/2011,26.6775,Total
132,13201220,TOTAL,10/16/2011,21.3575,Total
132,13201228,EFIT,7/29/2011,26.6775,Fit
132,13201236,EFITPF,10/17/2011,0.0975,Fit
132,13201243,EFIT,11/17/2011,27.6775,Fit
132,13201274,EFIT,11/19/2011,27.6775,Fit
132,13201280,EFIT,08-08-2011,26.6775,Fit
132,13201289,TOTAL,08-08-2011,21.3575,Total
132,13201290,TOTAL,10/21/2011,31.9875,Total
132,13201291,TOTAL,01-08-2019,31.9875,Total
132,13201296,EFIT,10/21/2011,27.6775,Fit
132,13201315,EFIT,08-09-2011,27.6775,Fit
132,13201317,TOTAL,08-09-2011,37.4075,Total
132,13201336,TOTAL,01-08-2019,31.9875,Total
132,13201343,EFIT,08-09-2011,26.6775,Fit
132,13201348,EFIT,11/21/2018,24.5475,Fit
132,13201363,FSTCD,01-08-2019,20.0875,Child
132,13201369,TOTAL,11-01-2011,31.9875,Total
132,13201376,EFIT,11-02-2011,26.6775,Fit
132,13201396,EFIT,08-10-2011,27.6775,Fit
132,13201418,EFITPF,08-11-2011,0.0975,Fit
132,13201433,EFITPF,08-12-2011,0.0975,Fit
132,13201448,EFIT,12-09-2011,28.7975,Fit
132,13201450,TOTAL,11-08-2011,26.6775,Total
132,13201470,EFIT,11-09-2011,26.6775,Fit
132,13201472,TOTAL,02-12-2012,37.3075,Total
132,13201478,EFIT,11/14/2011,26.6775,Fit
132,13201500,EFIT,11/16/2011,26.6775,Fit
132,13201515,EFITPF,12-04-2011,0.0975,Fit
132,13201518,EFIT,11/16/2011,26.6775,Fit
132,13201525,EFIT,12/19/2011,27.6775,Fit
132,13201532,EFIT,01-08-2019,21.3575,Fit
132,13201534,TOTAL,11/17/2011,37.3075,Total
132,13201535,EDGECP,11/18/2011,16.0375,Fit
132,13201538,EFIT,11/19/2011,26.6775,Fit
132,13201556,RED,1/23/2012,16.0375,Red
132,13201565,TOTAL,12/23/2011,37.3075,Total
132,13201578,EFIT,11/22/2011,26.6775,Fit
132,13201595,RED,8/20/2019,16.0375,Red
132,13201621,EFIT,11/25/2011,26.6775,Fit
132,13201622,EFIT,11/25/2011,27.6775,Fit
132,13201625,TOTAL,1/30/2012,21.3575,Total
132,13201636,EFIT,12/31/2011,27.6775,Fit
132,13201637,EFIT,11/30/2011,26.6775,Fit
132,13201644,EFIT,10-06-2019,23.4875,Fit
132,13201646,EFIT,12-01-2011,23.4875,Fit
132,13201659,TOTAL,06-01-2019,37.3075,Total
132,13201664,EFIT,01-05-2012,26.6775,Fit
132,13201692,EFIT,12-11-2011,27.6775,Fit
132,13201713,EFIT,01-09-2019,21.3575,Fit
132,13201718,EFIT,12/13/2011,26.6775,Fit
132,13201728,EFIT,11/16/2017,26.6775,Fit
132,13201761,EFITPF,2/21/2012,0.0975,Fit
132,13201766,EDGECP,12/21/2011,26.6775,Fit
132,13201770,EFITPF,11/26/2018,0.0975,Fit
132,13201784,EFIT,1/23/2012,23.4875,Fit
132,13201785,TOTAL,1/23/2012,21.3575,Total
132,13201790,EFIT,12/26/2011,27.6775,Fit
132,13201806,EFIT,1/28/2012,27.6775,Fit
132,13201820,EFIT,12/29/2011,27.6775,Fit
132,13201823,EFIT,12/30/2011,26.6775,Fit
132,13201829,EFIT,01-01-2012,27.6775,Fit
132,13201840,EFIT,01-02-2012,26.6775,Fit
132,13201841,EFIT,01-02-2012,26.6775,Fit
132,13201854,RED,12-10-2019,10.7175,Red
132,13201890,EFIT,04-12-2012,24.5475,Fit
132,13201897,EFIT,01-10-2012,26.6775,Fit
132,13201902,EFIT,01-10-2012,26.6775,Fit
132,13201919,TOTAL,01-09-2019,37.3075,Total
132,13201924,EFIT,1/24/2009,26.6775,Fit
132,13201927,EFITPF,1/24/2009,0.0975,Fit
132,13201941,EFIT,1/24/2009,28.7975,Fit
132,13201975,EFITPF,05-03-2010,0.0975,Fit
132,13201979,EFIT,05-03-2010,26.6775,Fit
132,13201981,EFIT,12-11-2018,26.6775,Fit
132,13201983,EFIT,05-03-2010,26.6775,Fit
132,13201990,EFIT,05-03-2010,26.6775,Fit
132,13201994,EFIT,01-10-2019,26.6775,Fit
132,13201998,EFIT,05-03-2010,26.6875,Fit
132,13202012,EFITPF,05-01-2010,0.0975,Fit
132,13202013,EFIT,1/15/2012,26.6775,Fit
132,13202043,EFITPF,03-11-2012,0.0975,Fit
132,13202050,EFIT,1/16/2012,26.6775,Fit
132,13202061,EFIT,1/16/2012,26.6775,Fit
132,13202062,EFITPF,1/16/2012,0.0975,Fit
132,13202068,RED,1/16/2012,16.0375,Red
132,13202071,TTLPIF,1/17/2012,0.0975,Total
132,13202072,EFIT,1/17/2012,26.6775,Fit
132,13202096,EFIT,3/23/2012,26.6775,Fit
132,13202104,RED,8/21/2019,10.7275,Red
132,13202106,TOTAL,8/21/2019,37.3075,Total
132,13202123,EFIT,2/27/2012,23.4875,Fit
132,13202130,EFIT,1/27/2012,26.6775,Fit
132,13202143,EFIT,1/30/2012,27.6775,Fit
132,13202148,EFIT,1/30/2012,26.6775,Fit
132,13202183,EFIT,02-07-2012,26.6775,Fit
132,13202184,EFIT,03-10-2012,26.6775,Fit
132,13202192,EFIT,2/13/2012,26.6775,Fit
132,13202207,EFIT,5/13/2010,26.6775,Fit
132,13202216,EFIT,5/13/2010,26.6775,Fit
132,13202226,EFIT,02-12-2019,26.6775,Fit
132,13202229,EFIT,5/17/2010,26.6775,Fit
132,13202237,EFIT,5/18/2010,26.6775,Fit
132,13202252,TOTAL,3/16/2019,37.3075,Total
132,13202263,EFIT,04-11-2019,28.7975,Fit
132,13202270,EFIT,5/20/2010,26.6775,Fit
132,13202295,TOTAL,5/16/2010,31.9875,Total
132,13202300,EFIT,3/17/2012,26.6775,Fit
132,13202301,EFIT,05-06-2010,26.6775,Fit
132,13202308,EFIT,05-10-2010,26.6775,Fit
132,13202318,EFIT,05-10-2010,24.5475,Fit
132,13202323,EFIT,05-09-2010,26.6875,Fit
132,13202332,TOTAL,8/21/2019,37.3075,Total
132,13202339,EFIT,05-08-2010,24.5475,Fit
132,13202345,EFIT,06-09-2017,26.6775,Fit
132,13202398,EFIT,5/15/2010,26.6775,Fit
132,13202401,EFIT,10-07-2019,23.4875,Fit
132,13202408,EFIT,2/15/2012,26.6775,Fit
132,13202434,EFIT,5/23/2010,26.6775,Fit
132,13202439,EFIT,5/26/2010,26.6775,Fit
132,13202456,EFIT,2/15/2012,26.6775,Fit
132,13202458,EFIT,5/30/2010,23.4875,Fit
132,13202462,EFIT,5/29/2010,26.6775,Fit
132,13202463,EFIT,2/15/2012,26.6775,Fit
132,13202478,EFIT,5/27/2010,26.6875,Fit
132,13202486,EFIT,2/15/2012,23.4875,Fit
132,13202501,EFIT,2/18/2012,27.6775,Fit
132,13202505,TOTAL,2/19/2012,37.3075,Total
132,13202514,TOTAL,4/23/2012,31.9875,Total
132,13202558,TOTAL,01-10-2019,37.3075,Total
132,13202564,EFIT,10-10-2018,21.3575,Fit
132,13202566,EFIT,01-11-2019,23.4875,Fit
132,13202571,EFITPF,03-01-2012,0.0975,Fit
132,13202584,EFIT,03-03-2012,26.6775,Fit
132,13202594,EFIT,03-05-2012,26.6775,Fit
132,13202614,EFIT,03-08-2012,27.6775,Fit
132,13202632,EFIT,03-10-2012,27.6775,Fit
132,13202633,EFIT,03-10-2012,26.6775,Fit
132,13202642,EFIT,03-12-2012,24.5475,Fit
132,13202643,EFIT,03-12-2012,26.6775,Fit
132,13202652,PIFPLT,3/15/2012,0.0975,Fit
132,13202659,EFIT,01-12-2019,26.6775,Fit
132,13202668,EFIT,8/21/2019,28.7975,Fit
132,13202690,EMP,3/19/2012,0.0975,Employee
132,13202702,EFIT,3/20/2012,27.6775,Fit
132,13202714,EFIT,3/21/2012,28.7975,Fit
132,13202724,EFIT,3/21/2012,26.6775,Fit
132,13202733,EFIT,3/22/2012,24.5475,Fit
132,13202749,EFIT,5/26/2012,27.6775,Fit
132,13202756,EMP,3/25/2012,0.0975,Employee
132,13202762,EFIT,3/25/2012,24.5475,Fit
132,13202769,EFIT,3/26/2012,24.5475,Fit
132,13202783,EFIT,3/26/2012,27.6775,Fit
132,13202805,EFIT,9/23/2010,26.6775,Fit
132,13202810,EFIT,9/22/2010,26.6775,Fit
132,13202832,TOTAL,10-02-2010,37.3075,Total
132,13202835,EFIT,10-03-2010,24.5475,Fit
132,13202884,TTLPIF,9/23/2010,0.0975,Total
132,13202897,TOTAL,9/24/2010,21.3575,Total
132,13202903,EFIT,11/16/2010,26.6775,Fit
132,13202922,EFIT,11/18/2010,26.6775,Fit
132,13202956,EFIT,3/26/2012,27.6775,Fit
132,13202965,EFIT,11/24/2010,26.6775,Fit
132,13202967,EFIT,11/25/2010,26.6775,Fit
132,13202971,EFIT,11/25/2010,26.6775,Fit
132,13202989,EFIT,1/14/2019,26.6775,Fit
132,13203002,EFIT,11-07-2010,26.6775,Fit
132,13203011,EFIT,11-04-2010,26.6775,Fit
132,13203013,EFIT,11-01-2010,26.6875,Fit
132,13203019,EFIT,10/30/2010,26.6775,Fit
132,13203044,EFIT,11-03-2010,26.6775,Fit
132,13203056,EFIT,11-08-2010,26.6875,Fit
132,13203070,TOTAL,11-10-2010,26.6775,Total
132,13203075,EFIT,11-10-2010,26.6775,Fit
132,13203076,EFIT,1/14/2019,26.6775,Fit
132,13203102,EFIT,1/14/2019,26.6775,Fit
132,13203106,EFIT,11/16/2010,26.6775,Fit
132,13203117,EFIT,11/15/2010,26.6775,Fit
132,13203133,EFIT,11/15/2010,26.6775,Fit
132,13203140,EFIT,11/29/2010,26.6775,Fit
132,13203151,EFIT,3/13/2006,23.4875,Fit
132,13203167,EFIT,12-05-2010,26.6775,Fit
132,13203203,RED,12/15/2019,10.7175,Red
132,13203205,EFITPF,8/31/2010,0.0975,Fit
132,13203223,EFITPF,9/13/2010,0.0975,Fit
132,13203225,EFIT,9/13/2010,26.6775,Fit
132,13203231,EFIT,8/22/2019,28.7975,Fit
132,13203232,EFIT,3/28/2012,27.6775,Fit
132,13203255,TOTAL,8/26/2010,37.3075,Total
132,13203257,EFIT,8/26/2010,26.6875,Fit
132,13203264,EFIT,1/14/2019,26.6775,Fit
132,13203268,EFIT,1/14/2019,21.3575,Fit
132,13203274,TOTAL,4/25/2019,37.3075,Total
132,13203280,TOTAL,8/28/2010,31.9875,Total
132,13203281,TOTAL,8/28/2010,31.9875,Total
132,13203287,EFIT,8/26/2010,26.6775,Fit
132,13203290,EFITPF,8/26/2010,0.0975,Fit
132,13203291,TOTAL,8/26/2010,37.3075,Total
132,13203294,TOTAL,8/26/2010,37.3075,Total
132,13203307,EFIT,06-09-2010,26.6775,Fit
132,13203335,EFIT,06-07-2010,26.6775,Fit
132,13203346,EFIT,6/16/2010,26.6775,Fit
132,13203363,EFIT,6/14/2010,24.5475,Fit
132,13203365,EFITPF,6/15/2010,0.0975,Fit
132,13203380,EFIT,12/16/2014,23.4875,Fit
132,13203390,EFIT,6/17/2010,26.6775,Fit
132,13203409,EFIT,1/15/2019,28.7975,Fit
132,13203435,TOTAL,06-06-2010,31.9875,Total
132,13203444,EFITPF,06-05-2010,0.0975,Fit
132,13203465,EFIT,06-02-2010,23.4875,Fit
132,13203488,EFIT,06-03-2019,28.7975,Fit
132,13203489,EFIT,3/30/2012,27.6775,Fit
132,13203497,TOTAL,5/31/2010,37.4075,Total
132,13203515,EFIT,7/14/2010,28.7975,Fit
132,13203519,EFIT,7/14/2010,26.6775,Fit
132,13203541,EFIT,7/16/2010,21.3575,Fit
132,13203554,EFIT,7/17/2010,26.3875,Fit
132,13203583,EFIT,8/24/2010,26.6775,Fit
132,13203585,EFIT,1/15/2019,26.6775,Fit
132,13203609,EFIT,3/18/2011,26.6875,Fit
132,13203615,RED,3/18/2011,16.0375,Red
132,13203621,RED,8/22/2019,16.0375,Red
132,13203623,EFIT,3/19/2011,26.6775,Fit
132,13203627,TTLPIF,3/20/2011,0.0975,Total
132,13203630,EFIT,3/20/2011,26.6875,Fit
132,13203635,EFIT,3/20/2011,26.6775,Fit
132,13203638,EFIT,3/21/2011,26.6775,Fit
132,13203654,EFIT,3/21/2011,26.6775,Fit
132,13203666,EMP,06-03-2017,0.0975,Employee
132,13203666,EMP,06-03-2017,0.0975,Employee
132,13203689,RED,04-04-2011,10.7275,Red
132,13203697,EFITPF,04-03-2011,0.0975,Fit
132,13203743,EFIT,04-02-2012,26.6775,Fit
132,13203754,EFIT,04-02-2012,26.6775,Fit
132,13203759,EFIT,07-01-2010,26.6775,Fit
132,13203781,TOTAL,1/15/2019,31.9875,Total
132,13203788,EFITPF,6/26/2010,0.0975,Fit
